Planning,Infra
Trocadéro,
Stade de France,Stade de France
Hôtel de Ville (site de départ) - Invalides (site d'arrivée),Hôtel de ville de Paris
Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,Stade nautique
Arena Porte de La Chapelle,Arena La Chapelle
Stade Pierre Mauroy*,
Arena Bercy,Arena Bercy
La Concorde 1,Stade de la Concorde
La Concorde,Stade de la Concorde
Stade BMX de Saint-Quentin-en-Yvelines,Stade BMX de Saint-Quentin-en-Yvelines
Arena Paris Nord,Arena Paris nord
Stade Roland-Garros - P.Chatrier,Stade Roland Garros
Stade nautique de Vaires-sur-Marne - Bassin eaux vives,Stade nautique
Vélodrome National de Saint-Quentin-en-Yvelines,Vélodrome National de Saint-Quentin-en-Yvelines
Départ Invalides - Arrivée Pont Alexandre III,Invalides
Site d'escalade du Bourget,Site d'escalade du Bourget
Grand Palais,Grand Palais
Parc des Princes,Parc des Princes
Stade Geoffroy-Guichard,
Stade de la Beaujoire,
Stade de Nice,
Stade de Bordeaux,
Stade de Lyon,
Stade de Marseille,
Golf National,Golf national
Porte de La Chapelle Arena,Arena La Chapelle
Arena Paris Sud 6,Arena Paris Sud 6 (Porte de Versailles)
Stade Pierre Mauroy,
Stade Yves-du-Manoir - Terrain 1,Stade Yves du Manoir
Stade Yves-du-Manoir - Terrain 2,Stade Yves du Manoir
Arena Champ-de-Mars,Arena Champs de Mars
Paris La Défense Arena,La Défense Arena
Centre aquatique,Centre aquatique
Pont Alexandre III,
Château de Versailles,Château de Versailles
La Concorde 3,Stade de la Concorde
La Concorde 4,Stade de la Concorde
Teahupoo,
Stade Roland-Garros - Court Suzanne-Lenglen,Stade Roland Garros
Stade Roland-Garros - Court Simonne-Mathieu,Stade Roland Garros
Stade Roland-Garros - Courts Annexes,Stade Roland Garros
Stade Roland-Garros - Court Philippe-Chatrier,Stade Roland Garros
Arena Paris Sud 4,Arena Paris Sud 4 (Porte de Versailles)
Invalides,Invalides
Centre National de Tir de Châteauroux*,
Stade Tour Eiffel,Stade Tour Eiffel
Arena Paris Sud 1,Arena Paris Sud 1 (Porte de Versailles)
Colline d'Elancourt,Colline d'Elancourt
